DateTime,o3,so2,co,no,no2,nox,pm25,t,rh,ws,wd
20170103 17:00,0.008,0.9,0.463,10.4,23.3,33.7,3.25,7.6,88,5.8,335.5
20170103 18:00,0.007,0.9,0.426,10.7,23.1,33.9,5.38,7.3,87,6.6,328.1
20170103 19:00,0.005,0.8,0.355,9.8,24.4,34.2,6.14,6.8,87,6.8,332.4
20170103 20:00,0.006,0.7,0.312,3.5,21.1,24.7,9.2,6.5,86,6.6,317
20170103 21:00,0.004,0.6,0.329,11.3,18.1,29.4,15.35,6.6,87,4.5,292.8
20170103 22:00,0.004,0.6,0.308,3.2,19.8,23.1,26.87,6.6,88,5.9,298.5
20170103 23:00,0.008,0.6,0.269,1.3,14.3,15.7,21.03,6.6,88,6.6,301
20170104 00:00,0.006,0.5,0.256,1,15.4,16.4,14.21,6.6,88,7.2,303.3
20170104 01:00,0.005,0.5,0.264,1,16.6,17.6,13.35,6.6,86,5.1,299.2
20170104 02:00,0.004,0.5,0.276,0.9,15.3,16.2,14.08,6.7,87,5.4,287.2
20170104 03:00,0.004,0.5,0.278,1.4,14.9,16.3,16.17,6.8,87,3.3,259.8
20170104 04:00,0.006,0.4,0.264,1.4,12.3,13.7,11.89,6.7,88,6.2,266.5
20170104 05:00,0.005,0.5,0.27,1.7,12.4,14.1,10.76,6.7,89,4.8,268.6
20170104 06:00,0.001,0.5,0.325,5.2,16.2,21.4,12.9,6.9,89,2.8,259.9
20170104 07:00,0,0.9,0.643,54.1,24.1,78.2,12.22,7,89,2.5,258.5
20170104 08:00,0.002,1.1,0.554,43.6,16.2,59.9,10.98,7.3,88,2.7,257.9
20170104 09:00,0.003,1.2,0.41,24.971,15.4,40.3,9.18,8.1,85,3.4,221.7
20170104 10:00,0.005,0.9,0.339,16.6,14.2,30.8,8.14,8.8,82,4.3,269.2
20170104 11:00,0.009,1,0.302,11.9,11,22.9,4.68,10.5,75,5.2,272.2
20170104 12:00,0.013,1,0.262,6.3,7.1,13.5,1.95,11.5,64,10.6,292.4
20170104 13:00,0.016,1.1,0.241,6.3,6.6,13,1.84,11.7,56,13.2,296.6
20170104 14:00,0.023,0.8,0.207,5.2,5.3,10.5,1.09,12,45,15.3,295.3
20170104 15:00,0.027,0.6,0.197,4,6.3,10.4,0.76,11.3,38,15.4,293.3
20170104 16:00,0.031,0.4,0.177,3.1,5.5,8.7,1.31,10,33,14.9,289.3
20170104 17:00,0.032,0.5,0.183,1.8,5.7,7.5,1.92,8.7,29,13.7,286
20170104 18:00,0.032,0.4,0.154,2.5,6.4,9,2.55,7.2,28,13.9,293.9
20170104 19:00,0.03,0.4,0.138,2.1,6.8,8.9,2.76,5.7,30,13.3,292.1
20170104 20:00,0.027,0.4,0.146,2.4,9,11.5,3.11,4.6,33,10.3,293.5
20170104 21:00,0.029,0.4,0.132,1.3,5.9,7.3,2.72,3.6,34,11.3,290.5
20170104 22:00,0.025,0.4,0.154,1.7,9.1,10.9,2.86,2.7,35,6.9,289.2
20170104 23:00,0.03,0.4,0.129,0.3,4.5,4.9,2.16,1.9,36,11,286.1
20170105 00:00,0.029,0.4,0.138,1.3,5.7,7,2.62,1.1,37,10.4,292.5
20170105 01:00,0.029,0.5,0.134,0.3,5.7,6.1,3.05,0.4,39,6.8,284.1
20170105 02:00,0.025,0.5,0.159,0.6,9.1,9.8,3.63,-0.1,41,4.7,299.4
20170105 03:00,0.024,0.5,0.16,3.962,9.8,13.7,4.03,-0.7,41,7.2,295
20170105 04:00,0.025,0.5,0.158,3.129,9.3,12.3,4.03,-1.2,40,7.1,293.5
20170105 05:00,0.023,0.6,0.174,1.882,11.1,12.9,4.62,-1.6,41,6,290.6
20170105 06:00,0.016,0.6,0.218,10,19.6,29.6,6.04,-1.7,42,6.3,304.7
20170105 07:00,0.012,1,0.314,38.5,30.3,68.9,7.5,-1.7,42,5.6,286.9
20170105 08:00,0.018,1,0.255,21.7,22.2,44,7.25,-1.5,42,7.4,289.5
20170105 09:00,0.025,0.6,0.194,5.7,9.9,15.6,6.49,-1.3,41,8.7,291.8
20170105 10:00,0.025,0.6,0.192,6.5,12.8,19.4,6.9,-1,40,8.4,287.6
20170105 11:00,0.027,0.9,0.184,4,8.1,12.2,7.33,-0.7,39,6.5,277.9
20170105 12:00,,0.9,0.179,4.288,6,10.1,5.97,-0.2,37,6.9,282.2
20170105 13:00,,0.5,,3.5,6.7,10.2,5.77,0.4,35,5.6,275
20170105 14:00,0.027,0.5,,5.8,8.9,14.7,4.82,0.5,35,5.9,283.9
20170105 15:00,0.026,0.7,0.225,8,11.7,19.7,4.05,0.5,38,6.8,283.3
20170105 16:00,0.024,0.9,0.272,4.2,11.5,15.7,4.07,0.4,41,6,254.9
20170105 17:00,0.026,0.7,0.287,2.4,10,12.5,4.44,-0.5,57,5.3,242.8
20170105 18:00,0.023,0.6,0.266,2.4,13.2,15.7,4.8,-1,68,3.3,234.5
20170105 19:00,0.023,0.7,0.236,0.6,12.4,13,5.57,-0.8,69,2.7,242.1
20170105 20:00,0.019,0.6,0.235,0.5,14.7,15.3,7.76,-1.2,76,2.3,263.5
20170105 21:00,0.014,0.6,0.246,2.3,19.7,22.1,10.97,-1.2,78,1.4,335.3
20170105 22:00,0.011,0.6,0.272,1.5,21.4,23,13.74,-1,79,2,161.8
20170105 23:00,0.007,0.6,0.285,1.9,25.3,27.3,16.04,-1,80,1.9,111.2
20170106 00:00,0.007,0.6,0.302,2.5,23.7,26.3,17.17,-0.8,80,2.1,33
