DateTime,o3,so2,co,no,no2,nox,pm25,t,rh,ws,wd
20170217 23:00,0.001,1.8,0.783,56.2,36,92.2,37.53,1.5,51,1.9,260
20170218 00:00,0.001,1.3,0.565,24.2,35.3,59.6,35.91,1.4,48,1.4,297
20170218 01:00,0.001,1.4,0.829,58.1,31.5,89.7,38.84,1.2,53,0.7,280.7
20170218 02:00,0.001,1.5,0.876,63.4,29.2,92.8,36.64,0.4,59,0.8,148
20170218 03:00,0,1.6,0.902,61.2,27.3,88.5,38.31,0.3,61,,211.2
20170218 04:00,0,1.6,0.776,64.961,28.5,91.2,37.06,0.1,64,0.8,133.4
20170218 05:00,0,1.6,0.761,71,30,101.1,32.72,0.4,67,0.8,157.9
20170218 06:00,0,1.4,0.707,71.516,32.2,100.9,30.1,0.4,69,0.8,315.9
20170218 07:00,0.001,1.7,0.844,95.7,31.4,127.2,31.96,1.2,66,0.9,254.6
20170218 08:00,0.005,1.8,0.605,55.2,27.9,83.2,31.55,3.2,60,1.8,243.2
20170218 09:00,0.015,1.4,0.4,17.9,20,38,28.04,5.1,56,3.3,231.4
20170218 10:00,0.02,1.6,0.358,13,16.1,29.2,26.22,8.1,46,2.7,191.5
20170218 11:00,0.026,1.5,0.313,7.9,12.8,20.7,23.21,12,37,2.5,200.4
20170218 12:00,0.032,1.4,0.284,5.1,10.8,16,20.11,15,33,4.6,202.4
20170218 13:00,0.04,1,0.274,2.9,9.7,12.7,11.49,17.6,29,6.4,238.6
20170218 14:00,0.044,0.9,0.271,2.6,9.6,12.2,9.31,18.7,26,7.4,240.4
20170218 15:00,0.046,0.9,0.269,1.8,9.4,11.3,8.94,19.6,24,7.1,241.9
20170218 16:00,0.046,0.7,0.263,1,9,10.1,9.02,19.5,25,5.7,237.9
20170218 17:00,0.044,0.8,0.263,0.3,8.1,8.4,10.06,18,29,4.8,237.2
20170218 18:00,0.036,0.8,0.355,0.3,14.4,14.7,13.37,16.2,33,2.2,254.4
20170218 19:00,0.031,1.1,0.364,1.4,16.9,18.3,14.78,14.8,37,2.5,264.4
20170218 20:00,0.023,0.9,0.352,1.3,24.1,25.5,18.4,13.7,40,3.7,281.8
20170218 21:00,0.024,0.9,0.348,1.7,23.6,25.3,19.61,12.9,43,3.9,284.9
20170218 22:00,0.027,0.9,0.306,5.621,14.5,18.6,19.44,12.5,46,3,261.6
20170218 23:00,0.031,0.8,0.299,0.7,11.4,12.2,18.79,12.8,45,4,273.5
20170219 00:00,0.022,0.8,0.348,0.8,18.9,19.8,20.41,12.8,44,3.2,279.7
20170219 01:00,0.016,0.9,0.42,1.6,24,25.7,20.29,13.5,40,3,292.8
20170219 02:00,0.022,0.9,0.356,1.3,17.9,19.3,18.61,14.2,37,3.7,286.1
20170219 03:00,0.035,0.8,0.252,0.4,7.6,8.1,15.48,14.7,35,4.3,293.4
20170219 04:00,0.031,0.8,0.272,0.6,11.4,12.1,16.12,14.8,35,3.5,301.1
20170219 05:00,0.036,0.8,0.237,0.3,6.6,6.9,16.58,14.7,36,5.4,301.3
20170219 06:00,0.037,1,0.217,1.4,8.1,9.6,20.48,15.4,36,6.5,307.7
20170219 07:00,0.037,1.1,0.224,1.2,7.2,8.4,20.98,15.1,39,5.4,289.5
20170219 08:00,0.034,1.3,0.23,3.1,12.2,15.4,19.89,15.6,40,8.7,303.3
20170219 09:00,0.038,1.3,0.237,1.7,8.1,9.9,19.93,15.6,42,10.6,311.3
20170219 10:00,0.043,1.4,0.224,1.5,5.1,6.7,20.04,16.1,43,11.1,306
20170219 11:00,0.046,1.3,0.216,1.1,3.8,5,17.91,17.9,39,9,307.8
20170219 12:00,0.048,1.1,0.204,1.1,3.7,4.9,13.86,18.8,37,9.6,303.3
20170219 13:00,0.05,1,0.199,1,3.1,4.2,12.74,19.4,34,9.1,297.6
20170219 14:00,0.051,0.9,0.2,1,3.3,4.4,11.59,20.1,30,10.5,304.2
20170219 15:00,0.051,0.7,0.185,1.3,2.6,3.9,9.44,20.6,27,12.2,299.3
20170219 16:00,0.048,0.6,0.192,2,4.1,6.1,9.17,20.4,26,10.3,301.5
20170219 17:00,0.045,0.6,0.233,0.9,6.8,7.8,12.05,19.7,28,6.9,301.6
20170219 18:00,0.024,0.8,0.552,7.6,26.7,34.4,22.83,18.3,31,2.7,309.9
20170219 19:00,0.002,1.3,0.97,22,45.6,67.6,30.57,16.7,35,1.8,288.7
20170219 20:00,0.004,1.5,0.746,16.8,40.8,57.7,27.02,15,40,2.9,296.6
20170219 21:00,0.024,1.4,0.357,1.7,21.6,23.3,19.37,15.3,37,4.5,301.7
20170219 22:00,0.039,1,0.214,0.5,6.7,7.2,13.15,15.9,34,8,313.1
20170219 23:00,0.037,0.9,0.228,0.5,6.7,7.3,14.58,15,36,5.6,322.4
20170220 00:00,0.03,0.8,0.25,1,12.5,13.6,15.01,13.7,39,3.4,317.2
20170220 01:00,0.031,0.7,0.22,0.8,10.4,11.2,11.61,13,38,2.6,333.4
20170220 02:00,0.03,0.6,0.199,0.5,9.5,10,9.35,12.2,37,2.7,330.9
20170220 03:00,0.028,0.6,0.197,0.6,11.5,12.2,7.42,11.4,38,3,329.1
20170220 04:00,0.017,0.7,0.241,10,24,34,7.55,10.6,41,3.2,325.8
20170220 05:00,0.004,1,0.399,42.1,39.4,81.6,14.28,9.6,44,2.3,298.6
20170220 06:00,0.003,1.1,0.569,53.5,40.8,94.4,17,8.3,51,2.4,301
20170220 07:00,0.025,0.9,0.31,7,15.1,22.2,7.45,9.2,50,5.7,341.3
20170220 08:00,0.031,0.9,0.223,5.2,7.9,13.2,7,9.8,48,7.7,339.3
20170220 09:00,0.033,0.8,0.206,4.7,5.5,10.3,6.44,10.5,45,6.9,338.7
20170220 10:00,,0.6,0.199,6.3,4,10.4,6.4,11.4,40,8,334.5
20170220 11:00,0.035,,0.194,4.7,4.4,9.2,6.4,12,37,9,341.3
20170220 12:00,0.036,,0.199,6.1,3.9,10,6.56,12.9,34,7.3,333.1
20170220 13:00,0.037,0.5,0.197,3.7,4.6,8.3,6.25,13.6,33,8,325.9
20170220 14:00,0.038,0.5,0.23,4.4,7,11.4,5.4,14.2,30,7.8,327.8
20170220 15:00,0.039,0.5,0.227,4.8,6.3,11.1,4.76,14.5,28,8.6,333.8
20170220 16:00,0.037,0.5,0.252,7,7.3,14.4,5.09,14.4,27,7.5,337.6
20170220 17:00,0.032,0.5,0.276,5.2,12.2,17.4,5.71,13.9,29,5.8,334.8
20170220 18:00,0.024,0.6,0.348,5.9,21.7,27.7,7.87,12.8,30,3.4,347.3
20170220 19:00,0.033,0.4,0.258,3.1,11.5,14.6,5.49,11.6,26,3.6,0.8
20170220 20:00,0.036,0.4,0.216,2,10,12.1,5.32,10.4,25,4.2,22.4
20170220 21:00,0.037,0.5,0.197,1.7,8.9,10.6,5.81,9.2,26,4.1,9.8
20170220 22:00,0.037,0.5,0.185,1.1,7.8,8.9,5.85,8.3,26,4.5,12
20170220 23:00,0.039,0.4,0.17,0.5,7,7.6,5,7.4,25,4.6,41.1
20170221 00:00,0.034,0.5,0.186,0.4,10,10.5,5.38,6.7,26,4.2,76.3
20170221 01:00,0.03,0.7,0.202,0.6,12.4,13.1,6.69,5.8,29,4.7,89.1
20170221 02:00,0.02,1,0.211,0.4,21.4,21.9,8.37,4.9,34,4.3,92.7
20170221 03:00,0.023,0.6,0.199,0.4,18.7,19.1,6.61,4.2,34,5.1,93.4
20170221 04:00,0.02,1.1,0.202,0.7,21.5,22.2,7.84,3.8,36,5.3,90.1
20170221 05:00,0.021,0.9,0.21,1.5,22.6,24.2,6.89,3.8,38,5.3,82.2
20170221 06:00,0.021,0.8,0.239,3.5,23.2,26.7,6.98,3.6,40,4.9,87.5
20170221 07:00,0.023,0.7,0.303,6.6,22.5,29.2,8.06,3.7,43,5.7,89.3
20170221 08:00,0.026,0.7,0.253,7.5,18.3,25.9,8.99,3.9,47,6.2,90.3
20170221 09:00,0.029,0.8,0.238,8.1,14.6,22.7,11.49,5.1,50,4.8,111.4
20170221 10:00,0.034,0.8,0.248,3.3,9.1,12.5,12.97,6.5,51,4.3,177.2
20170221 11:00,0.04,0.4,,2.1,5,7.1,11.88,7.7,51,4.7,192.1
20170221 12:00,0.043,0.4,,1.2,3.5,4.8,10.75,8.3,51,5.6,206
20170221 13:00,0.045,0.3,0.183,0.735,,,11.37,8.9,50,5.9,184.1
20170221 14:00,0.039,0.3,0.195,0.8,3.1,4,11.29,8.8,51,5,199.3
20170221 15:00,0.039,0.3,0.203,0.8,4.2,5,11.25,8.9,53,5.2,185.2
20170221 16:00,0.039,0.3,0.255,2.2,3.6,5.9,9.78,8.8,54,5.1,206.6
20170221 17:00,0.037,0.4,0.387,0.9,7.5,8.5,9.19,8.3,56,3.8,191.3
20170221 18:00,0.036,0.4,0.239,0.4,7.8,8.3,9.17,7.4,58,2.8,193.3
20170221 19:00,0.039,0.3,0.181,0.1,4,4.2,7.46,6.9,60,3.7,173.9
20170221 20:00,0.038,0.2,0.184,0.1,4.6,4.8,7.04,6.5,61,2.7,155.9
20170221 21:00,0.035,0.3,0.174,0.1,6.7,6.9,7.31,6.4,64,2.4,152.7
20170221 22:00,0.028,0.3,0.171,0.3,12.9,13.2,8.64,6.1,67,3,152.5
20170221 23:00,0.032,0.3,0.176,0.7,7.2,7.9,8.66,5.7,72,2.7,198
20170222 00:00,0.032,0.2,0.16,0.3,5.1,5.4,7.8,5.5,74,3,218.8
20170222 01:00,0.031,0.3,0.163,0.2,5.6,5.9,8.55,5.5,75,1.8,229.5
20170222 02:00,0.026,0.2,0.165,0.3,8.4,8.7,9.68,5.5,75,1.6,197.2
20170222 03:00,0.023,0.2,0.179,0.4,11,11.4,10.69,5.3,75,1.4,192
20170222 04:00,0.025,0.2,0.182,0.5,9.9,10.5,11.01,5.4,74,1.3,201.5
20170222 05:00,0.019,0.2,0.213,0.6,15.7,16.4,12.93,5.5,74,1.1,181.6
20170222 06:00,0.007,0.3,0.257,6.1,31,37.2,17.18,5.5,74,2.3,141.3
20170222 07:00,0.006,0.6,0.274,10.1,32.2,42.3,15.56,5.6,76,2.8,121.6
20170222 08:00,0.008,0.8,0.276,16.1,32,48.2,17.53,6.2,75,2.4,153.7
20170222 09:00,0.021,0.9,0.26,7.843,17.2,24.9,11.91,7.3,71,2.5,233.6
20170222 10:00,0.028,1.3,0.192,4.8,9.3,14.2,9.6,9.1,66,3.5,191.3
20170222 11:00,0.028,1.1,0.204,6.083,8.1,13.8,11.19,10.3,63,3.6,185.4
20170222 12:00,0.028,1,0.202,4.5,9.9,14.4,11.28,11.2,61,3.4,169.1
20170222 13:00,0.028,1.1,0.217,3.8,10.2,14.1,11.87,11.8,60,3.9,179.5
20170222 14:00,0.032,0.8,0.21,3.2,7.6,10.9,12.45,12.8,57,3.6,181.9
20170222 15:00,0.035,1,0.209,1.6,6.4,8,13.29,13.7,55,3.4,190.6
20170222 16:00,0.035,1,0.27,1.4,8,9.5,13.06,14,55,3.2,193.6
20170222 17:00,0.026,0.7,0.359,1.6,15.6,17.3,14.71,13.5,58,2.8,183.3
20170222 18:00,0.011,0.5,0.378,2.4,28.9,31.3,16.3,12.4,65,2.2,225.1
20170222 19:00,0.005,0.5,0.266,3.4,34,37.4,15.82,10.7,76,2.8,247
20170222 20:00,0.003,0.6,0.275,4.9,36.9,41.8,14.63,10,81,1.6,252.6
20170222 21:00,0,0.6,0.286,13.7,39.6,53.3,15.19,9.5,83,1.3,150
20170222 22:00,0,0.7,0.381,42.9,38.6,81.6,14.28,8.9,84,0.8,157.1
20170222 23:00,0,0.9,0.469,45.4,33.3,78.8,15.39,8.1,85,0.8,181.4
20170223 00:00,0,1,0.505,47.6,34,81.6,17.96,8.1,86,0.9,318.2
20170223 01:00,0,0.8,0.33,23.3,32.4,55.8,25.4,8.7,86,0.9,268.9
20170223 02:00,0,0.7,0.316,22.7,29.8,52.5,22.39,8.6,88,1.2,169.8
20170223 03:00,0,0.6,0.285,14.5,27.7,42.2,16.19,8.6,89,1.5,116.6
20170223 04:00,0,0.8,0.307,20.7,27,47.8,18.67,9,90,2,149.1
20170223 05:00,0,1,0.273,14.7,27.1,41.8,19.06,9.1,90,2.3,171.2
20170223 06:00,0,1,0.292,17.4,27.1,44.6,19.92,9.5,90,1.2,201.4
20170223 07:00,0,1.3,0.398,46,25.6,71.7,20.97,9.6,90,2.1,226.8
20170223 08:00,0.002,1.1,0.363,22.8,21.2,44,15.66,10,90,2.3,190.3
20170223 09:00,0.005,0.9,0.343,17.8,17.8,35.6,15.8,10.7,90,2.3,182.9
20170223 10:00,0.009,0.9,0.329,20,17.5,37.6,19.58,12.3,88,2.5,232.5
20170223 11:00,0.021,1.2,0.252,7.679,,,14.56,15.8,72,3.7,236.5
20170223 12:00,0.022,1.3,0.256,8.154,,,11.46,18.3,61,3.3,155.6
20170223 13:00,0.037,1.5,0.202,4.472,5,9.4,5.98,20.7,53,4.8,196.7
20170223 14:00,0.043,1,0.188,1.1,3.5,4.7,5.11,21.5,51,5.3,205.4
20170223 15:00,0.044,0.9,0.179,0.9,3.9,4.9,4.15,22.2,48,4.2,199.6
20170223 16:00,0.04,0.7,0.213,1.6,5.9,7.6,3.81,22.3,47,4.3,206.2
20170223 17:00,0.036,0.7,0.287,0.9,9.1,10,5.49,20.6,52,3.9,206.9
20170223 18:00,0.033,0.7,0.27,0.4,12.1,12.6,8.05,19.3,57,2.5,203.1
20170223 19:00,0.027,0.6,0.288,1,15.4,16.4,8.26,17.8,62,2,250.2
20170223 20:00,0.029,0.6,0.265,0.8,12.8,13.6,6.57,17,64,1.7,218.3
20170223 21:00,0.032,0.5,0.187,0.4,8.1,8.6,4.57,16,66,2,205.7
20170223 22:00,0.03,0.4,0.194,0.4,10.4,10.8,4.54,15,70,2.1,197.9
20170223 23:00,0.027,0.4,0.196,0.6,10.9,11.6,4.21,14.2,72,2.4,256.1
20170224 00:00,0.022,0.4,0.17,0.6,12.4,13.1,3.71,13,76,1.8,238.1
20170224 01:00,0.022,0.3,0.149,0.5,9.7,10.3,3.44,12.3,79,1.4,225.3
20170224 02:00,0.02,0.3,0.178,0.7,9.4,10.1,3.65,11.9,81,2.2,285.1
20170224 03:00,0.016,0.4,0.169,2.7,13.5,16.2,3.84,11.9,82,1.8,285.6
20170224 04:00,0.019,0.3,0.152,0.7,10.8,11.5,3.95,11.5,84,1.7,223.8
20170224 05:00,0.008,0.3,0.199,3.2,21.5,24.8,4.32,11,86,1,292.9
20170224 06:00,0.007,0.3,0.256,2.1,21.9,24.1,4.37,10.8,86,1.5,262.9
20170224 07:00,0.008,0.4,0.327,17,24.5,41.6,4.53,11.5,85,1.1,266.5
20170224 08:00,0.021,0.9,0.243,7,12.9,20,4.64,14,76,2.5,218.2
20170224 09:00,0.028,1.4,0.182,3.6,7.1,10.7,4.5,15.9,70,3.4,204.5
20170224 10:00,0.03,1.1,0.19,3.6,6.6,10.3,5.13,18.2,63,4.1,190.3
20170224 11:00,0.039,1,0.178,1.4,3.3,4.8,5.82,20.1,58,5.2,199.3
20170224 12:00,0.042,0.8,0.175,1.4,3.5,4.9,4.93,21.5,53,5.7,181.8
20170224 13:00,0.043,0.5,0.163,0.9,3.1,4,4.75,21.9,50,6.3,182.3
20170224 14:00,0.041,0.4,0.162,1.1,3.9,5.1,5.04,21.7,50,6.7,185.2
20170224 15:00,0.042,0.3,0.163,0.9,2.3,3.2,4.82,22,50,6.1,200.7
20170224 16:00,0.038,0.4,0.216,1,5.3,6.4,4.82,21.2,54,5.3,185.4
20170224 17:00,0.037,0.4,0.192,0.5,5.6,6.2,5.45,20,59,6.4,160.6
20170224 18:00,0.035,0.4,0.158,0.3,5.9,6.3,5.32,18,67,6.1,155.8
20170224 19:00,0.032,0.5,0.161,0.3,6.7,7.1,5.05,16.9,72,5.8,155.1
20170224 20:00,0.033,0.3,0.151,0.4,4.4,4.8,5.13,16.5,77,5.2,161.8
20170224 21:00,0.032,0.2,0.16,0.4,4.1,4.5,5.19,16.2,81,4,179.3
20170224 22:00,0.029,0.2,0.155,0.5,5.6,6.1,4.94,15.7,83,3.1,176.4
20170224 23:00,0.026,0.2,0.161,0.8,7.1,8,4.76,15,84,2.2,146.4
20170225 00:00,0.019,0.3,0.245,1.2,12.8,14.1,4.36,14.6,85,1,135.7
20170225 01:00,0.023,0.3,0.202,0.8,8.6,9.4,4.25,14.5,84,1.4,235
20170225 02:00,0.022,0.3,0.164,0.7,8.3,9,5.22,14.2,83,1.2,280.2
20170225 03:00,0.022,0.2,0.158,0.5,8.9,9.5,7.37,13.8,84,2,129
20170225 04:00,0.018,0.5,0.173,0.9,12.8,13.7,5.98,13.8,85,1.5,142.4
20170225 05:00,0.024,0.5,0.148,0.6,7.3,8,4.63,13.9,86,1.8,261.2
20170225 06:00,0.021,0.3,0.153,0.7,8.6,9.3,4.94,13.5,87,2.1,171.9
20170225 07:00,0.017,0.3,0.174,2.8,14.7,17.5,6.45,13.6,87,3,142.4
20170225 08:00,0.026,0.5,0.149,1.9,5.9,7.8,7.77,14.7,83,3.4,162.7
20170225 09:00,0.034,0.4,0.127,0.8,1.3,2.1,7.16,16.9,75,5.9,199.8
20170225 10:00,0.033,0.4,0.129,1.3,2.3,3.6,6.07,17.9,70,5.3,196.9
20170225 11:00,0.038,0.3,0.126,0.8,1.4,2.2,5.55,20.1,62,7.3,167.6
20170225 12:00,0.039,0.3,0.127,0.6,1.5,2.1,5.94,20.9,60,8.5,160.9
20170225 13:00,0.04,0.3,0.133,0.4,1.2,1.6,6.18,21.2,58,8.8,157.7
20170225 14:00,0.041,0.3,0.125,0.3,0.6,0.9,5.85,21.4,56,10.4,153.5
20170225 15:00,0.041,0.2,0.125,0.2,0.4,0.6,5.13,20.9,57,10.7,156.2
20170225 16:00,0.039,0.2,0.138,0.2,1.8,2.1,4.24,17.9,67,11.5,240.8
20170225 17:00,0.033,0.2,0.164,1,2.8,3.8,2.73,12.2,74,15.4,314
20170225 18:00,0.028,0.1,0.171,0.7,3.6,4.4,4.66,11.4,66,10.4,308.5
20170225 19:00,0.025,0.1,0.18,1.3,5.6,7,6.25,11.2,62,7.2,311.1
20170225 20:00,0.022,0.2,0.195,1.9,8.2,10.2,7.59,10.9,63,3.9,314.5
20170225 21:00,0.026,0.2,0.169,1.2,5,6.3,7.18,10.5,55,11.7,299.9
20170225 22:00,0.032,0.2,0.14,1.2,3.3,4.5,4.08,9.2,43,12.6,302.2
20170225 23:00,0.032,0.2,0.134,0.6,2.3,2.9,3.12,7.8,43,11.8,298.8
20170226 00:00,0.029,0.2,0.131,0.4,1.4,1.8,3.03,7,44,12,301.7
20170226 01:00,0.028,0.1,0.125,0.2,0.8,1.1,3.55,6.1,44,14.1,309.9
20170226 02:00,0.03,0.1,0.121,0.2,0.5,0.8,4.25,4.5,42,14.5,308.9
20170226 03:00,0.029,0.1,0.12,0.2,0.7,0.9,4.26,3.5,43,14.4,300.6
20170226 04:00,0.029,0,0.122,0.2,0.8,1,4.85,2.9,44,12.4,297.8
20170226 05:00,0.03,0,0.122,0.2,0.8,1.1,5.61,2.6,43,12.3,304.7
20170226 06:00,0.03,0,0.136,0.5,1.5,2,7.63,2.2,43,12.7,303.4
20170226 07:00,0.03,0,0.138,1.3,2.8,4.1,8.96,2,43,13.1,295.8
20170226 08:00,0.029,0.1,0.149,3.1,4.1,7.3,8.01,2.2,41,13.6,307
20170226 09:00,0.031,0.1,0.146,1.6,2.1,3.8,8.47,2.3,40,14.1,304.1
20170226 10:00,0.033,0.1,0.15,1.4,1,2.4,9.2,2.6,37,16.2,302.3
20170226 11:00,0.033,0.1,0.152,1.9,1.6,3.6,9.28,3.3,34,14.2,307.9
20170226 12:00,0.034,0.1,0.156,1.7,1.2,3,9.07,3.9,34,13.3,297.9
20170226 13:00,0.034,0.1,0.153,1.5,1.8,3.4,8.21,4.5,33,12.9,297.1
20170226 14:00,0.036,0.1,0.148,1.3,1.1,2.4,7.43,5.3,33,12.4,299.8
20170226 15:00,0.035,0.1,0.154,1.5,2,3.6,7.7,5.5,34,14.8,292.3
20170226 16:00,0.033,0.2,0.168,2.2,3.7,6,7.46,5.8,33,12,299.3
20170226 17:00,0.032,0.3,0.174,1,4.5,5.6,7.6,5.5,34,10.6,297.5
20170226 18:00,0.028,0.3,0.211,1.1,7.2,8.3,8.5,4.8,38,7.6,311.2
20170226 19:00,0.026,0.3,0.227,0.9,9,10,9.75,4.1,39,6,302.7
20170226 20:00,0.022,0.4,0.25,1.9,13.4,15.4,11.14,3.5,40,5,299.2
20170226 21:00,0.019,0.4,0.268,1.2,15.1,16.3,13.83,2.9,43,4.3,293.3
20170226 22:00,0.02,0.4,0.257,1.3,13.5,14.8,14.47,2.6,44,3.6,307.8
20170226 23:00,0.012,0.4,0.306,2.5,20.9,23.4,14.85,2.2,45,1.8,290.9
20170227 00:00,0.002,0.4,0.38,6.6,28.4,35,18.53,1.2,54,2.2,257.3
20170227 01:00,0.001,0.4,0.366,8,30.5,38.5,21.2,0.7,54,1.5,284
20170227 02:00,0.001,0.4,0.341,10.4,30.6,41.1,19.87,0.7,54,1.5,304.4
20170227 03:00,0.003,0.4,0.32,5.6,29.5,35.1,17,0.7,54,2,275.7
20170227 04:00,0.002,0.4,0.311,9.7,30.5,40.2,16.27,0.5,56,1.3,300.3
20170227 05:00,0.007,0.4,0.281,9.369,27.4,36.7,14.98,1.6,53,1.2,307.8
20170227 06:00,0.009,0.4,0.339,5.1,26.3,31.5,14.09,2,51,1.5,281.8
20170227 07:00,0.007,0.8,0.437,42.7,25.5,68.2,14.58,2.6,51,2.1,277.6
20170227 08:00,0.016,1.3,0.341,14.895,21.4,33.6,13.51,4,54,2.8,241.4
20170227 09:00,0.026,1.2,0.238,6.5,12.3,18.9,11.08,6.2,50,3.2,205.2
20170227 10:00,0.031,0.7,0.183,4.4,6.9,11.3,9.66,7.5,50,5.1,212.9
20170227 11:00,0.03,0.8,0.188,4,7.7,11.7,10.38,8.6,50,3.6,199.1
20170227 12:00,0.035,0.6,0.181,2.8,5.3,8.1,9.19,10.6,44,4.9,209.5
20170227 13:00,0.036,0.5,0.183,1.9,5.5,7.5,7.9,11.3,39,5.8,223.6
20170227 14:00,0.038,0.7,0.169,1.5,6,7.6,4.99,12.1,30,7,223.8
20170227 15:00,0.036,0.3,0.184,1.4,8.4,9.9,4.42,11.6,27,6.9,229.8
20170227 16:00,0.033,0.3,0.228,2.4,9.7,12.1,5.2,11.5,31,4.9,238.6
20170227 17:00,0.027,0.8,0.312,2.2,15.4,17.7,6.75,11.2,33,3.8,230
20170227 18:00,0.027,0.6,0.246,1.5,14.1,15.6,6.74,10.8,37,3.5,218.8
20170227 19:00,0.021,0.5,0.244,1.3,18.4,19.7,7.34,10,41,1.9,215.5
20170227 20:00,0.011,0.5,0.441,14.4,28.3,42.8,8.72,9.3,46,1.2,135.3
20170227 21:00,0.003,0.8,0.446,9,35.3,44.3,9.85,9,49,1.6,156.6
20170227 22:00,0.008,1,0.264,2.8,32.1,35,8.32,8.9,50,1.4,142.7
20170227 23:00,0.008,1.7,0.259,6.4,31.1,37.6,8.49,9,51,2,121.8
20170228 00:00,0.007,1.3,0.255,4.4,29.9,34.3,8.3,9,51,1.7,121.8
20170228 01:00,0.012,0.8,0.262,0.8,23.4,24.3,9.18,8.9,52,1,137.9
20170228 02:00,0.008,0.7,0.287,2.2,28.1,30.3,9.89,8.8,54,1.7,114.1
20170228 03:00,0.003,0.7,0.285,5.2,33,38.2,10.08,8.5,56,1.2,112.1
20170228 04:00,0,0.8,0.363,21.3,36.2,57.6,9.38,8.4,57,1.3,11
20170228 05:00,0,1,0.455,46.2,37.7,83.9,9.94,8.2,59,1,348.7
20170228 06:00,0,1.4,0.733,74.7,39.5,114.2,12.17,7.8,62,1.2,345.1
20170228 07:00,0.001,1.6,0.886,71,39.4,110.5,11.86,8.1,62,1.8,349.2
20170228 08:00,0.01,1.9,0.536,39.3,30.8,70.2,11.75,10.1,59,2.3,137.8
20170228 09:00,0.022,1.3,0.259,12.3,19.3,31.6,9.77,11.6,57,3.4,129.6
20170228 10:00,0.025,1.3,0.237,11.1,18.2,29.3,11.16,13.4,52,2.1,154.2
20170228 11:00,0.032,1.5,0.214,5.9,12.5,18.5,9.32,14.8,51,3.1,190.7
20170228 12:00,0.035,1.4,0.208,4.4,9.4,13.9,9.86,15.9,48,4,192.1
20170228 13:00,0.039,1,0.217,2.5,6.6,9.2,9.43,16.8,49,4.4,169.2
20170228 14:00,0.043,0.8,0.193,0.8,4.2,5,7.31,17.4,51,5.3,171.7
20170228 15:00,0.042,0.6,0.188,0.9,5.7,6.7,6.42,17.7,53,4.6,191.6
20170228 16:00,0.037,0.5,0.228,1.9,9.6,11.5,7.21,15.9,61,4.6,224.5
20170228 17:00,0.027,0.7,0.402,3.1,18.3,21.5,6.6,15.4,66,2.5,266.4
20170228 18:00,0.022,0.5,0.364,1.8,20.7,22.6,7.07,15.1,71,2.7,253.8
20170228 19:00,0.024,0.5,0.294,1,15.7,16.7,7.15,13.6,81,4.1,171.5
20170228 20:00,0.023,0.4,0.205,1.3,14.6,15.9,6.47,13.1,81,2.3,210.8
20170228 21:00,0.021,0.3,0.2,1.8,15.6,17.5,9.3,12.9,83,2.8,226.8
20170228 22:00,0.022,0.3,0.231,1.2,13.1,14.4,12.17,12.7,87,2.9,256.2
20170228 23:00,0.025,0.3,0.2,1.2,10.3,11.5,11.49,12.7,88,3.1,245
20170301 00:00,0.022,0.3,0.171,1.8,12.1,13.9,9.92,12.6,89,4.4,225
20170301 01:00,0.024,0.2,0.158,1.2,10.6,11.9,8.64,12,90,4.2,234.3
20170301 02:00,0.026,0.1,0.154,0.6,5.6,6.3,5.17,11.8,90,2.6,215.6
20170301 03:00,0.025,0.1,0.159,0.6,6,6.6,5.04,11.6,90,2.4,174.9
20170301 04:00,0.018,0.2,0.165,2.1,12.5,14.6,10.11,11.8,91,2.4,232.6
20170301 05:00,0.017,0.2,0.191,1.8,12.9,14.7,10.76,12.4,91,2.2,235.8
20170301 06:00,0.029,0.2,0.206,1.2,7.9,9.2,12.4,13.8,90,5.6,235.4
20170301 07:00,0.026,0.2,0.226,2.2,9.7,12,11.79,14.4,86,5.7,225.2
20170301 08:00,0.016,0.2,0.258,4.3,15.2,19.5,10.03,14.1,86,3.7,175.4
20170301 09:00,0.014,0.3,0.25,4.9,14.5,19.4,10.82,14.7,86,3.7,212.4
20170301 10:00,0.019,0.4,0.216,3.1,9.2,12.4,13.76,17.6,79,6.4,231.7
20170301 11:00,,0.3,0.198,1.9,4.4,6.4,13.79,19.4,73,10.3,230.7
20170301 12:00,0.029,,0.201,2,3,5.1,13.42,21,67,11.8,232.5
20170301 13:00,0.032,,,1.6,3.2,4.8,13.42,22.4,61,10.7,228.3
20170301 14:00,0.032,0.3,,1.4,4.6,6,13.87,22.6,61,9.8,238.9
20170301 15:00,0.025,0.2,,2.1,9.6,11.7,14.31,19.6,76,6.3,231.8
20170301 16:00,0.03,0.3,0.223,1.3,5.9,7.2,7.71,19.5,65,7.8,259.6
20170301 17:00,0.029,0.3,0.235,1.2,8,9.2,4.68,19.3,55,5.9,230.3
20170301 18:00,0.031,0.3,0.159,0.4,4.4,4.9,3.53,19.2,55,8.2,232.4
20170301 19:00,0.032,0.2,0.127,0.4,2.4,2.8,2.88,19.3,52,9.4,233.2
20170301 20:00,0.031,0.1,0.122,0.2,2.6,2.8,3.26,18.8,53,8.9,232.5
20170301 21:00,0.031,0.1,0.116,0.4,2.7,3.2,3.2,18.3,57,8.3,236.2
20170301 22:00,0.032,0.1,0.113,0.3,2.1,2.4,2.45,17.8,60,7.8,242.2
