ORIS,Unit ID,Facility,State,ERTAC Region,Fuel/Unit Type Bin, Maximum hourly heat input (mmbtu) , ERTAC heat rate (btu/kw-hr) , OS heat rate (btu/kw-hr) , Non-OS heat rate (btu/kw-hr) , Generation capacity (MW) , num of hours in FY where unit operated at max hourly , BY Utilization fraction , FY Utilization fraction , Base year generation (MW-hrs) , Base year heat input (mmbtu) , Future year generation (MW-hrs) , Future year heat input (mmbtu) , BY Annual SO2 (tons) , BY Average Annual SO2 Rate (lbs/mmbtu) , BY Annual NOx (tons) , BY Average Annual NOx Rate (lbs/mmbtu) , BY OS NOx (tons) , BY Average OS NOx Rate (lbs/mmbtu) , BY OS heat input (mmbtu) , BY NonOS NOx (tons) , BY Average NonOS NOx Rate (lbs/mmbtu) , FY Annual SO2 (tons) , FY Average Annual SO2 Rate (lbs/mmbtu) , FY Annual NOx (tons) , FY Average Annual NOx Rate (lbs/mmbtu) , FY OS NOx (tons) , FY Average OS NOx Rate (lbs/mmbtu) , FY OS heat input (mmbtu) , FY NonOS NOx (tons) , FY Average NonOS NOx Rate (lbs/mmbtu) ,Hierarchy Order,Longitude,Latitude,Generation Deficit Unit?, Retirement Date, New Unit?, Gasified?
55138,2B,Walton Discover Power Facility,AL,SRSE,simple cycle gas,415,12747.85829,12865.36447,12429.26616,32.55448802,0,0.022055892,0.022889865,6289.84,80181.989,6527.670235,83213.81514,0.0240615,0.000600172,8.088973,0.201765337,5.93104,0.200654319,59116.993,2.157933,0.204883305,0.024971309,0.000600172,8.396242011,0.201799232,6.386267678,0.20084769,63593.1405,2.009974333,0.204883305,62,-85.0384,32.5412,N,1/1/2050,,
55139,CTG1,Wolf Hollow Generating Station,TX,ERCT,combined cycle gas,3055.600098,7529.302808,7491.786301,7575.440652,405.8277607,104,0.451928692,0.502555805,1606629.63,12096800.99,1786611.61,13451939.81,3.629225,0.000600031,158.657359,0.026231292,81.37348,0.024515625,6638499.261,77.283879,0.028317921,4.03578734,0.000600031,176.3047084,0.026212533,91.67463889,0.02454757,7469141.748,84.63006951,0.028291134,96,-97.7344,32.3347,N,1/1/2050,,
55139,CTG2,Wolf Hollow Generating Station,TX,ERCT,combined cycle gas,3055.600098,7405.702661,7386.650914,7430.252222,412.6009695,90,0.422019559,0.470101842,1525340.95,11296221.53,1699128.807,12583242.73,3.389013,0.000600026,134.740738,0.023855895,67.424145,0.021256254,6343934.873,67.316593,0.027186065,3.775136054,0.000600026,149.9731546,0.023836964,75.93885182,0.021307742,7127817.978,74.03430277,0.027141536,106,-97.7344,32.3347,N,1/1/2050,,
55141,CT1,Hawk Road Energy Facility,GA,SRSE,simple cycle gas,2076,11194.5641,11263.08604,11055.96723,185.4471494,89,0.21501047,0.224248641,349288.17,3910128.807,364295.7355,4078131.961,1.1730935,0.000600028,90.415364,0.046246745,58.848819,0.044708757,2632541.035,31.566545,0.049415853,1.223496803,0.000600028,94.33894,0.046265761,61.00911243,0.044708764,2729179.133,33.32982757,0.049415853,3,-84.9912,33.3577,N,1/1/2050,,
55141,CT2,Hawk Road Energy Facility,GA,SRSE,simple cycle gas,2076,11195.87586,11201.76944,11184.70333,185.4254215,95,0.214133605,0.223080255,347822.93,3894182.344,362355.2134,4056883.985,1.168319,0.000600033,84.5444735,0.043420912,53.5563745,0.041993254,2550713.249,30.988099,0.046131465,1.217132179,0.000600033,88.08053222,0.043422751,55.75623146,0.041993261,2655484.722,32.32430076,0.046131465,4,-84.9912,33.3577,N,1/1/2050,,
55141,CT3,Hawk Road Energy Facility,GA,SRSE,simple cycle gas,2076,11294.61552,11270.27633,11469.31709,183.8043975,20,0.125729561,0.130803582,202440.5,2286487.613,210610.3166,2378762.551,0.6859775,0.000600027,48.6278355,0.042534965,41.798633,0.041745083,2002565.586,6.8292025,0.048106183,0.713661241,0.000600027,50.56898067,0.042517048,43.62535312,0.041745085,2090083.337,6.94362755,0.048106183,11,-84.9912,33.3577,N,1/1/2050,,
55144,STK1,Hays Energy Facility,TX,ERCT,combined cycle gas,2140,7175.457238,7189.837424,7161.582084,298.238834,0,0.367470999,0.404257284,960044.51,6888758.328,1056151.337,7578368.755,2.066762,0.000600039,45.0365925,0.013075388,22.3040925,0.013160332,3389594.211,22.7325,0.012993103,2.273658593,0.000600039,49.54876503,0.013076367,24.87734716,0.013158706,3781123.734,24.67141787,0.012994378,116,-97.9894,29.7806,N,1/1/2050,,
55144,STK2,Hays Energy Facility,TX,ERCT,combined cycle gas,2140,7239.29163,7258.287123,7211.861298,295.6090332,0,0.400776258,0.43877094,1037824.2,7513112.044,1136212.765,8225375.557,2.2540705,0.000600036,50.823225,0.013529207,30.1647125,0.013555009,4450710.678,20.6585125,0.013491708,2.467762531,0.000600036,55.64367467,0.013529759,33.56137908,0.013554509,4952061.122,22.08229558,0.013492316,112,-97.9894,29.7806,N,1/1/2050,,
55144,STK3,Hays Energy Facility,TX,ERCT,combined cycle gas,2140,7220.836611,7256.029045,7192.62511,296.364551,11,0.385797563,0.43045956,1001589.68,7232315.431,1117539.079,8069567.098,2.169837,0.000600039,44.876321,0.012409946,20.232809,0.012513746,3233693.388,24.643512,0.012326002,2.421028982,0.000600039,50.06835822,0.012409181,22.41815219,0.012511768,3583530.758,27.65020603,0.012327232,114,-97.9894,29.7806,N,1/1/2050,,
55144,STK4,Hays Energy Facility,TX,ERCT,combined cycle gas,2140,7142.884872,7141.616373,7144.000155,299.5988369,0,0.435427105,0.478213279,1142772.26,8162690.688,1255063.965,8964777.406,2.4489525,0.000600036,51.304616,0.012570516,24.1581635,0.012653749,3818340.752,27.1464525,0.01249736,2.689592792,0.000600036,56.3514184,0.012571738,27.02265733,0.012652399,4271546.685,29.32876107,0.012498325,102,-97.9894,29.7806,N,1/1/2050,,
