"","Pollutant","Year","Sector","Tons per Year"
"142","VOC",2014,"Area",6854
"143","VOC",2014,"On-road",7047
"144","VOC",2014,"Off-road",4767
"145","VOC",2014,"Natural",19777
"146","NOx",2014,"Point",4410
"147","NOx",2014,"Area",2949
"148","NOx",2014,"On-road",12066
"149","NOx",2014,"Off-road",7942
"150","NOx",2014,"Natural",720
"151","CO",2014,"Point",5590
"152","CO",2014,"Area",6538
"153","CO",2014,"On-road",75924
"154","CO",2014,"Off-road",43907
"155","CO",2014,"Natural",3379
"156","SO2",2014,"Point",1842
"157","SO2",2014,"Area",480
"158","SO2",2014,"On-road",93
"159","SO2",2014,"Off-road",1779
"160","SO2",2014,"Natural",0
"161","PM10-PRI",2014,"Point",636
"162","PM10-PRI",2014,"Area",11840
"163","PM10-PRI",2014,"On-road",685
"164","PM10-PRI",2014,"Off-road",658
"165","PM10-PRI",2014,"Natural",18049
"166","PM2.5-PRI",2014,"Point",422
"167","PM2.5-PRI",2014,"Area",2680
"168","PM2.5-PRI",2014,"On-road",358
"169","PM2.5-PRI",2014,"Off-road",617
"170","PM2.5-PRI",2014,"Natural",2615
"171","NH3",2014,"Point",134
"172","NH3",2014,"Area",6570
"173","NH3",2014,"On-road",321
"174","NH3",2014,"Off-road",8
"175","NH3",2014,"Natural",0
